ゲキドル,,
アイドールズ,,
アイドリープライド,,
装甲娘戦記,,
ワールドウィッチーズ発進します,,
映像研には手を出すな,,
ヒーリングっど♥プリキュア,,
スター☆トゥインクルプリキュア,,
Fairy gone フェアリーゴーン,,
私に天使が舞い降りた!,,
少女終末旅行,,
桜蘭高校ホスト部,,
シュヴァルツェスマーケン,,
Sonny boy,,
Z/X Code reunion,,
結城友奈は勇者である,,
フリップフラッパーズ,,
やくならマグカップも,,
結城友奈は勇者である　ちゅるっと！,,
結城友奈は勇者である -鷲尾須美の章-／-勇者の章-,,
lain,,
Lapis Re:LiGHTs,,
幼女戦記,,
翠星のガルガンティア ～めぐる航路、遥か～,,
攻殻機動隊　STAND ALONE COMPLEX,,
氷菓,,
HELLSING OVA,,
幸腹グラフティ,,
デート・ア・ライブ,,
結城友奈は勇者である -大満開の章-,,
やくならマグカップも　二番窯,,
攻殻機動隊　S.A.C. 2nd GIG,,
月とライカと吸血鬼,,
ヴァイオレットエヴァーガーデン,,
色づく世界の明日から,,
ナイツ＆マジック,,
宇宙戦艦ヤマト2202,,
ソ・ラ・ノ・ヲ・ト,,
未来日記,,
夜桜四重奏,,
最終兵器彼女,,
中二病でも恋がしたい,,
ブラックブレッド,,
中二病でも恋がしたい!戀,,
刀使ノ巫女,,
TARI TARI,,
機巧少女は傷つかない,,
有頂天家族,,
こみっくがーるず,,
パンチライン,,
地球外少年少女,,
血界戦線 ＆ BEYOND,,
明日ちゃんのセーラー服,,
TIGER ＆ BUNNY,,
ACCA,,
フレームアームガールズ,,
まちカドまぞく,,
本好きの下剋上 司書になるためには手段を選んでいられません,,
トップを狙え,,
トップを狙え2,,
フリクリ,,
終末なにしてますか？忙しいですか？救ってもらっていいですか？,,
電波女と青春男,,
幼女社長,,
宇宙よりも遠い場所,,
CUE！,,
ハートキャッチプリキュア,,
楽園追放,,
ヒーラー・ガール,,
本好きの下剋上　司書になるためには手段を選んでいられません　第3期,,
RPG不動産,,
パリピ孔明,,
まちカドまぞく 2丁目,,
ご注文はうさぎですか？,,
邪神ちゃんドロップキック,,
失われた未来を求めて,,
八月のシンデレラナイン,,
うちのメイドがウザすぎる！,,
うたの☆プリンスさまっ♪　マジLOVE1000％,,
邪神ちゃんドロップキック’,,
うたの☆プリンスさまっ♪　マジLOVE2000％,,
ゆらぎ荘の幽奈さん,,
金装のヴェルメイユ ～崖っぷち魔術師は最強の厄災と魔法世界を突き進む～,,
プリマドール,,
RWBY 氷雪帝国,,
銀河機攻隊マジェスティックプリンス,,
Re -ゼロから始める異世界生活,,
Re：ゼロから始める異世界生活　2nd　season,,
てっぺんっ!!!!!!!!!!!!!!!,,
リコリス・リコイル,,
Extreme Hearts,,
Engage Kiss,,
ルミナスウィッチーズ,,
手品先輩,,
花の詩女 ゴティックメード,,
戦闘妖精雪風,,
戦闘妖精少女　たすけて！メイヴちゃん,,
推しが武道館いってくれたら死ぬ,,
海獣の子供,,
猫神やおよろず,,
スーパーカブ,,
シャインポスト,,
天元突破グレンラガン,,
ブレンド・S,,
ぼっち・ざ・ろっく！,,
Do It Yourself!! -どぅー・いっと・ゆあせるふ-,,
どろろ,,
